staxid	qaccver	saccver	length	qlen	qstart	qend	evalue	bitscore	Query	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal	grupo
500459	SRR13258790.747322	OZ390399.1	281	280	1	280	4.37e-135	496	500459	Microlophium carnosum	(Buckton, 1876)	SPECIES	NA	NA	NA	no	aphids	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Aphididae	27482	Microlophium	500458	Microlophium carnosum	500459	TRUE	Hemiptera
500459	SRR13258790.747322	OZ390399.1	281	280	1	280	4.37e-135	496	500459	Microlophium carnosum	(Buckton, 1876)	SPECIES	NA	NA	NA	no	aphids	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Aphididae	27482	Microlophium	500458	Microlophium carnosum	500459	TRUE	Hemiptera
500459	SRR13258790.747322	OZ390399.1	281	280	1	280	2.02e-138	507	500459	Microlophium carnosum	(Buckton, 1876)	SPECIES	NA	NA	NA	no	aphids	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Aphididae	27482	Microlophium	500458	Microlophium carnosum	500459	TRUE	Hemiptera
500459	SRR13258790.747322	OZ390399.1	278	280	1	277	4.37e-135	496	500459	Microlophium carnosum	(Buckton, 1876)	SPECIES	NA	NA	NA	no	aphids	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Aphididae	27482	Microlophium	500458	Microlophium carnosum	500459	TRUE	Hemiptera
500459	SRR13258790.747322	OZ390399.1	282	280	1	280	4.96e-45	196	500459	Microlophium carnosum	(Buckton, 1876)	SPECIES	NA	NA	NA	no	aphids	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Aphididae	27482	Microlophium	500458	Microlophium carnosum	500459	TRUE	Hemiptera
500459	SRR13258790.257607	OZ390400.1	277	276	1	276	3.37e-126	466	500459	Microlophium carnosum	(Buckton, 1876)	SPECIES	NA	NA	NA	no	aphids	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Aphididae	27482	Microlophium	500458	Microlophium carnosum	500459	TRUE	Hemiptera
500459	SRR13258790.747322	OZ390399.1	281	280	1	280	4.37e-135	496	500459	Microlophium carnosum	(Buckton, 1876)	SPECIES	NA	NA	NA	no	aphids	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Aphididae	27482	Microlophium	500458	Microlophium carnosum	500459	TRUE	Hemiptera
500459	SRR13258790.747322	OZ390399.1	281	280	1	280	2.03e-133	490	500459	Microlophium carnosum	(Buckton, 1876)	SPECIES	NA	NA	NA	no	aphids	Eukaryota	2759	Metazoa	33208	Arthropoda	6656	Insecta	50557	Hemiptera	7524	Aphididae	27482	Microlophium	500458	Microlophium carnosum	500459	TRUE	Hemiptera
1470492	SRR13258790.650691	CP135018.1	433	432	1	432	0	787	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
1470492	SRR13258790.53921	CP135021.1	274	273	1	273	1.19e-130	481	1470492	Buchnera aphidicola (Aphis aurantii)		FORMA_SPECIALIS	NA	NA	NA	no	enterobacteria	Bacteria	2	Pseudomonadati	3379134	Pseudomonadota	1224	Gammaproteobacteria	1236	Enterobacterales	91347	Erwiniaceae	1903409	Buchnera	32199	Buchnera aphidicola	9	FALSE	Otros
